English;Translation;UCP;Translation;Human annotation;Simplified;Automatic annotation;Simplified;Match_YN;Match;Match_diff_YN;Match_spec;ST;TT;Genre;Modality
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de seda fossin tan polits, tan ben ordenats, tan infantilment pentinats i nets.;smoothly disposed;ben ordenats;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals que s’amagaven sota aquella caputxa de seda fossin tan polits, tan ben ordenats, tan infantilment pentinats i nets.;childishly combed and cleaned;tan infantilment pentinats i nets;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;MT
He became aware that Sally had emerged from her book and was about to say something.;Es va adonar que la Sally havia aixecat el cap del llibre i anava a dir alguna cosa.;had emerged;havia aixecat el cap ;CSC;CS;CSC;CS;Yes;1;Yes;1;English;Catalan;ShortStory;HT
“Murder is an occupational risk for prostitutes.” ;—Per a les prostitutes, l’assassinat és un risc laboral.;murder;l’assassinat ;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
“Hmm,” said he, clinging to the thread of his calculations.  ;—Hm... —va fer ell, concentrat a no perdre el fil dels seus càlculs. ;clinging to the thread;concentrat a no perdre el fil ;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
They grew so engrossing that when next she spoke it took him by surprise. ;Hi estava tan absort que, quan la Sally va tornar a parlar, el va agafar per sorpresa.;grew … engrossing;Hi estava tan absort que;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
They grew so engrossing that when next she spoke it took him by surprise. ;Hi estava tan absort que, quan la Sally va tornar a parlar, el va agafar per sorpresa.;when next;quan la Sally va tornar a parlar;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
They grew so engrossing that when next she spoke it took him by surprise. ;Hi estava tan absort que, quan la Sally va tornar a parlar, el va agafar per sorpresa.;took him by surprise;el va agafar per sorpresa;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
“And for wives, too—though not so much.” ;—I per a les dones casades també... però potser no tant.;not so much;no tant;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
Inwardly assenting, Willie asked, ;Donant-li la raó per dins, en Willie preguntà:;Inwardly assenting;Donant-li la raó per dins;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
“What on earth are you reading now?” ;—Es pot saber què diantre llegeixes, ara?;on earth;què diantre ;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;ShortStory;HT
I got it from the public library.”;El vaig agafar de la biblioteca.;got;El vaig agafar ;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
I got it from the public library.”;El vaig agafar de la biblioteca.;public library;biblioteca;R;R;O;O;No;0;No;0;English;Catalan;ShortStory;HT
“Yes. In rather a stark way. ;—Sí. Va per feina, per això.;rather;;O;O;O;O;Yes;1;Yes;1;English;Catalan;ShortStory;HT
“Yes. In rather a stark way. ;—Sí. Va per feina, per això.;stark;Va per feina, per això;CSM;CS;CS;CS;Yes;1;No;0;English;Catalan;ShortStory;HT
“Sounds enthralling.”;—Sona fascinant.;enthralling;fascinant;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
Of course, that’s a good thing.”;Cosa que està molt bé, esclar.;Of course, that’s a good thing.” ;Cosa que està molt bé, esclar;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
He looked at Sally’s sleek flaxen hair, now bent over her book again.  ;Va contemplar la cabellera de la Sally, sedosa i rossa com fils d’or, ara de nou acotada sobre el llibre. ;sleek flaxen hair;la cabellera de la Sally, sedosa i rossa com fils d’or;CSM;CS;CS;CS;Yes;1;No;0;English;Catalan;ShortStory;HT
Though he was still young, still a student, he was a year older than she and found her artless sophistications touching.  ;Tot i que ell encara era jove, encara era estudiant, també era un any més gran que ella, i aquella lògica tan fresca i directa li arribava al cor;her artless sophistications;aquella lògica tan fresca i directa ;CSM;CS;R;R;No;0;No;0;English;Catalan;ShortStory;HT
Though he was still young, still a student, he was a year older than she and found her artless sophistications touching.  ;Tot i que ell encara era jove, encara era estudiant, també era un any més gran que ella, i aquella lògica tan fresca i directa li arribava al cor;touching;li arribava al cor;CSC;CS;R;R;No;0;No;0;English;Catalan;ShortStory;HT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals amagats sota aquella caputxa de fils de seda fossin tan suaus com la cabellera, tan ben posats, tan nets i clenxinats com els d’una criatura.;that hood of silken hair;aquella caputxa de fils de seda ;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;ShortStory;HT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals amagats sota aquella caputxa de fils de seda fossin tan suaus com la cabellera, tan ben posats, tan nets i clenxinats com els d’una criatura.;as… as … as;tan… tan… tan;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals amagats sota aquella caputxa de fils de seda fossin tan suaus com la cabellera, tan ben posats, tan nets i clenxinats com els d’una criatura.;sleek;suaus;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals amagats sota aquella caputxa de fils de seda fossin tan suaus com la cabellera, tan ben posats, tan nets i clenxinats com els d’una criatura.;smoothly disposed;tan ben posats;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
It was as though the mental processes beneath that hood of silken hair were as sleek, as smoothly disposed, as childishly combed and clean. ;Era com si els processos mentals amagats sota aquella caputxa de fils de seda fossin tan suaus com la cabellera, tan ben posats, tan nets i clenxinats com els d’una criatura.;childishly combed and cleaned;nets i clenxinats com els d’una criatura;R;R;R;R;Yes;1;Yes;1;English;Catalan;ShortStory;HT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;Fa un dia clar i immaculat, i flaire de tulipa i de narcís a l’aire.;fresh-washed;clar;R;R;CS;CS;No;0;No;0;English;Catalan;Poem;PE
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;Fa un dia clar i immaculat, i flaire de tulipa i de narcís a l’aire.;fair;immaculat;R;R;CS;CS;No;0;No;0;English;Catalan;Poem;PE
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;Fa un dia clar i immaculat, i flaire de tulipa i de narcís a l’aire.;fair … air;flaire … l'aire;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;PE
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;Fa un dia clar i immaculat, i flaire de tulipa i de narcís a l’aire.;there is a smell … in the air; i flaire ... a l’aire.;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a raig per la finestra del lavabo i perfora l’aigua en làmines i volutes d’un blanc verdós;pours;a raig;CSM;CS;R;R;No;0;No;0;English;Catalan;Poem;PE
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a raig per la finestra del lavabo i perfora l’aigua en làmines i volutes d’un blanc verdós;bores through;perfora;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a raig per la finestra del lavabo i perfora l’aigua en làmines i volutes d’un blanc verdós;lathes;làmines;R;R;CS;CS;No;0;No;0;English;Catalan;Poem;PE
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a raig per la finestra del lavabo i perfora l’aigua en làmines i volutes d’un blanc verdós;lathes and planes;làmines i volutes;R;R;CSM;CS;No;0;No;0;English;Catalan;Poem;PE
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esquerda com si fos un brillant, i la clivella en centelles de llum.;cleaves;l'esquerda;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esquerda com si fos un brillant, i la clivella en centelles de llum.;flaws;;O;O;O;O;Yes;1;Yes;1;English;Catalan;Poem;PE
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esquerda com si fos un brillant, i la clivella en centelles de llum.;cracks it to;clivella;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esquerda com si fos un brillant, i la clivella en centelles de llum.;bright light;centelles de llum;CSM;CS;CS;CS;Yes;1;No;0;English;Catalan;Poem;PE
"Little spots of sunshine lie on the surface of the water and dance, dance, and their reflections wobble deliciously over the ceiling; ";"Tot de volves menudes de sol  van ballant ballant damunt de l’aigua, i capcinegen delitosament reflectides al sostre; ";little spots of sunshine;tot de volves menudes de sol;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;PE
"Little spots of sunshine lie on the surface of the water and dance, dance, and their reflections wobble deliciously over the ceiling; ";"Tot de volves menudes de sol  van ballant ballant damunt de l’aigua, i capcinegen delitosament reflectides al sostre; ";wobble deliciously;capcinegen delitosament;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
a stir of my finger sets them whirring, reeling.  ;amb un lleu moviment del dit les faig girar i s’arremolinen;whirring;les faig girar;CSC;CS;R;R;No;0;No;0;English;Catalan;Poem;PE
a stir of my finger sets them whirring, reeling.  ;amb un lleu moviment del dit les faig girar i s’arremolinen;reeling;s'arremolinen;CSC;CS;CSM;CS;Yes;1;No;0;English;Catalan;Poem;PE
I move a foot and the planes of light in the water jar.  ;Moc un peu i les làmines de llum entrexoquen sota l’aigua. ;planes of light;làmines de llum;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
I move a foot and the planes of light in the water jar.  ;Moc un peu i les làmines de llum entrexoquen sota l’aigua. ;jar;entrexoquen;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
I lie back and laugh, and let the green-white water, the sun-flawed beryl water, flow over me. ;M’ajec i ric, i deixo que aquesta aigua verdiblanca, l’aigua de brillant o de maragda esquerdada de sol, m’inundi tota per sobre.;sun-flawed;esquerdada de sol;CSM;CS;CS;CS;Yes;1;No;0;English;Catalan;Poem;PE
I lie back and laugh, and let the green-white water, the sun-flawed beryl water, flow over me. ;M’ajec i ric, i deixo que aquesta aigua verdiblanca, l’aigua de brillant o de maragda esquerdada de sol, m’inundi tota per sobre.;beryl water;l'aigua de brillant o de maragda;CSC;CS;R;R;No;0;No;0;English;Catalan;Poem;PE
The day is almost too bright to bear, the green water covers me from the too bright day.  ;Fa un dia tan radiant que costa d’aguantar, l’aigua verda em protegeix d’un dia massa lluminós. ;too bright to bear;tan radiant que costa d'aguantar;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
The day is almost too bright to bear, the green water covers me from the too bright day.  ;Fa un dia tan radiant que costa d’aguantar, l’aigua verda em protegeix d’un dia massa lluminós. ;covers;em protegeix;CSC;CS;CSM;CS;Yes;1;No;0;English;Catalan;Poem;PE
I will lie here awhile and play with the water and the sun spots.   ;M’estaré aquí una estona jugant amb l’aigua i les volvetes de sol. ;the sun spots;volvetes de sol;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;PE
A crow flaps by the window, and there is a whiff of tulips and narcissus in the air.  ;Una gralla bat les ales davant de la finestra, i se sent el fil d’olor de tulipes i narcisos.;flaps;bat les ales;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;PE
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és rentat de nou i clar, i l’aire fa olor de tulipes i narcisos.;fresh-washed;rentat de nou;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és rentat de nou i clar, i l’aire fa olor de tulipes i narcisos.;fair;clar;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és rentat de nou i clar, i l’aire fa olor de tulipes i narcisos.;fair … air;;O;O;R;R;No;0;No;0;English;Catalan;Poem;MT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és rentat de nou i clar, i l’aire fa olor de tulipes i narcisos.;there is a smell … in the air; i l’aire fa olor…;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;La claror del sol entra a raig per la finestra del bany i forada l’aigua de la banyera en làmines i plans de blanc verdós. ;pours;a raig;CSM;CS;R;R;No;0;No;0;English;Catalan;Poem;MT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;La claror del sol entra a raig per la finestra del bany i forada l’aigua de la banyera en làmines i plans de blanc verdós. ;bores through;forada;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;La claror del sol entra a raig per la finestra del bany i forada l’aigua de la banyera en làmines i plans de blanc verdós. ;lathes;làmines;R;R;CSM;CS;No;0;No;0;English;Catalan;Poem;MT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;La claror del sol entra a raig per la finestra del bany i forada l’aigua de la banyera en làmines i plans de blanc verdós. ;lathes and planes;làmines i plans;R;R;CS;CS;No;0;No;0;English;Catalan;Poem;MT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esberla com un joiell, la clivella i la fa esclatar en llum viva.;cleaves;l'esberla;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esberla com un joiell, la clivella i la fa esclatar en llum viva.;flaws;;O;CS;R;R;No;0;No;0;English;Catalan;Poem;MT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esberla com un joiell, la clivella i la fa esclatar en llum viva.;cracks it to;clivella;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;L’esberla com un joiell, la clivella i la fa esclatar en llum viva.;bright light;llum viva;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
"Little spots of sunshine lie on the surface of the water and dance, dance, and their reflections wobble deliciously over the ceiling; ";"Pètals menuts de sol reposen a la superfície de l’aigua i ballen, ballen, i els seus reflexos tremolen delitós al sostre; ";little spots of sunshine;pètals menuts de sol;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;MT
"Little spots of sunshine lie on the surface of the water and dance, dance, and their reflections wobble deliciously over the ceiling; ";"Pètals menuts de sol reposen a la superfície de l’aigua i ballen, ballen, i els seus reflexos tremolen delitós al sostre; ";wobble deliciously;tremolen delitós;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
a stir of my finger sets them whirring, reeling.  ;amb el lleu moviment d’un dit els faig giravoltar, vacil·lar. ;whirring;els faig giravoltar;CSC;CS;R;R;No;0;No;0;English;Catalan;Poem;MT
a stir of my finger sets them whirring, reeling.  ;amb el lleu moviment d’un dit els faig giravoltar, vacil·lar. ;reeling;vacil·lar;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
I move a foot and the planes of light in the water jar.  ;Moure un peu i els plans de llum dins l’aigua trontollen. ;planes of light;plans de llum;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
I move a foot and the planes of light in the water jar.  ;Moure un peu i els plans de llum dins l’aigua trontollen. ;jar;trontollen;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
I lie back and laugh, and let the green-white water, the sun-flawed beryl water, flow over me. ;Em deixo caure enrere i ric, i deixo que l’aigua verdiblanca, l’aigua d’esmaragda esberlada de sol, em llisqui pel damunt.;sun-flawed;esberlada de sol;CSM;CS;CS;CS;Yes;1;No;0;English;Catalan;Poem;MT
I lie back and laugh, and let the green-white water, the sun-flawed beryl water, flow over me. ;Em deixo caure enrere i ric, i deixo que l’aigua verdiblanca, l’aigua d’esmaragda esberlada de sol, em llisqui pel damunt.;beryl water;l'aigua d'esmaragda;R;R;CS;CS;No;0;No;0;English;Catalan;Poem;MT
The day is almost too bright to bear, the green water covers me from the too bright day.  ;El dia és gairebé massa radiant per suportar, l’aigua verda m’amaga de l’excés de llum. ;too bright to bear;gairebé massa radiant per suportar;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
The day is almost too bright to bear, the green water covers me from the too bright day.  ;El dia és gairebé massa radiant per suportar, l’aigua verda m’amaga de l’excés de llum. ;covers;m'amaga;CSC;CS;CSM;CS;Yes;1;No;0;English;Catalan;Poem;MT
I will lie here awhile and play with the water and the sun spots.   ;Restaré aquí una estona, jugant amb l’aigua i amb les taques de sol. ;the sun spots;taques de sol;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;MT
A crow flaps by the window, and there is a whiff of tulips and narcissus in the air.  ;Una gralla fueteja l’aire davant la finestra, i encara arriba una flaire de tulipes i narcisos.;flaps;fueteja l'aire;CSM;CS;CSC;CS;Yes;1;No;0;English;Catalan;Poem;MT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és fresc i radiant, i la tulipa i el narcís omplen l’aire fragant. ;fresh-washed;fresc ;R;R;CS;CS;No;0;No;0;English;Catalan;Poem;HT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és fresc i radiant, i la tulipa i el narcís omplen l’aire fragant. ;fair;radiant;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és fresc i radiant, i la tulipa i el narcís omplen l’aire fragant. ;fair … air;radiant… fragrant;CSM;CS;CSC;CS;Yes;1;No;0;English;Catalan;Poem;HT
The day is fresh-washed and fair, and there is a smell of tulips and narcissus in the air. ;El dia és fresc i radiant, i la tulipa i el narcís omplen l’aire fragant. ;there is a smell … in the air;(i la tulipa i el narcís) omplen l’aire fragant. ;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;HT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a doll per la finestra del bany i s’obre pas per la banyera tallant-hi sanefes d’un blanc verdós. ;pours;a doll;CSM;CS;R;R;No;0;No;0;English;Catalan;Poem;HT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a doll per la finestra del bany i s’obre pas per la banyera tallant-hi sanefes d’un blanc verdós. ;bores through;s'obre pas;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;HT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a doll per la finestra del bany i s’obre pas per la banyera tallant-hi sanefes d’un blanc verdós. ;lathes;sanefes;CSA;CS;CSM;CS;Yes;1;No;0;English;Catalan;Poem;HT
The sunshine pours in at the bath-room window and bores through the water in the bath-tub in lathes and planes of greenish-white. ;El sol entra a doll per la finestra del bany i s’obre pas per la banyera tallant-hi sanefes d’un blanc verdós. ;lathes and planes;;O;O;CSM;CS;No;0;No;0;English;Catalan;Poem;HT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;Solca l’aigua amb les imperfeccions d’una joia i hi obre esquerdes d’un fulgor esplendorós.;cleaves;solca;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;Solca l’aigua amb les imperfeccions d’una joia i hi obre esquerdes d’un fulgor esplendorós.;flaws;imperfeccions;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;Solca l’aigua amb les imperfeccions d’una joia i hi obre esquerdes d’un fulgor esplendorós.;cracks it to;hi obri esquerdes;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
It cleaves the water into flaws like a jewel, and cracks it to bright light. ;Solca l’aigua amb les imperfeccions d’una joia i hi obre esquerdes d’un fulgor esplendorós.;bright light;fulgor esplendorós;CSC;CS;R;R;No;0;No;0;English;Catalan;Poem;HT
"Little spots of sunshine lie on the surface of the water and dance, dance, and their reflections wobble deliciously over the ceiling; ";"Hi ha tot de centelles surant sobre l’aigua, i ballen i ballen, reflectides al sostre amb un balanceig deliciós;";little spots of sunshine;tot de centelles;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;HT
"Little spots of sunshine lie on the surface of the water and dance, dance, and their reflections wobble deliciously over the ceiling; ";"Hi ha tot de centelles surant sobre l’aigua, i ballen i ballen, reflectides al sostre amb un balanceig deliciós;";wobble deliciously;balanceig deliciós;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
a stir of my finger sets them whirring, reeling.  ;d’un gest del meu dit el ball es torna titil·lant, tremolós. ;whirring;titil·lant;R;R;CSM;CS;No;0;No;0;English;Catalan;Poem;HT
a stir of my finger sets them whirring, reeling.  ;d’un gest del meu dit el ball es torna titil·lant, tremolós. ;reeling;tremolós;R;R;CSM;CS;No;0;No;0;English;Catalan;Poem;HT
I move a foot and the planes of light in the water jar.  ;Moc el peu i les sanefes de llum trontollen. ;planes of light;sanefes de llum;CSM;CS;CSM;CS;Yes;1;Yes;1;English;Catalan;Poem;HT
I move a foot and the planes of light in the water jar.  ;Moc el peu i les sanefes de llum trontollen. ;jar;trontollen;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
I lie back and laugh, and let the green-white water, the sun-flawed beryl water, flow over me. ;M’estiro i ric, i deixo fluir sobre meu l’aigua blanca i verdosa, l’aigua de beril macat de sol.;sun-flawed;marcat de sol;CSM;CS;R;R;No;0;No;0;English;Catalan;Poem;HT
I lie back and laugh, and let the green-white water, the sun-flawed beryl water, flow over me. ;M’estiro i ric, i deixo fluir sobre meu l’aigua blanca i verdosa, l’aigua de beril macat de sol.;beryl water;l'aigua de beril;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
The day is almost too bright to bear, the green water covers me from the too bright day.  ;El dia enlluerna de tan radiant, l’aigua verda em tapa d’aquesta llum tan fulgurant.  ;too bright to bear;enlluerna de tan radiant;CSM;CS;R;R;No;0;No;0;English;Catalan;Poem;HT
The day is almost too bright to bear, the green water covers me from the too bright day.  ;El dia enlluerna de tan radiant, l’aigua verda em tapa d’aquesta llum tan fulgurant.  ;covers;em tapa;R;R;R;R;Yes;1;Yes;1;English;Catalan;Poem;HT
I will lie here awhile and play with the water and the sun spots.   ;M’estaré aquí una estona, jugant amb l’aigua i el sol centellejant.;the sun spots;el sol centellejant;CSM;CS;CS;CS;Yes;1;No;0;English;Catalan;Poem;HT
A crow flaps by the window, and there is a whiff of tulips and narcissus in the air.  ;Passa un corb esbategant les ales, i hi ha una flaire de tulipa i narcís a l’aire.;flaps;passa esbategant les ales;CSC;CS;R;R;No;0;No;0;English;Catalan;Poem;HT
Твой дом, не ведая беды,;Jouw huis, waar pijn ondenkbaar was,;дом, не ведая беды;waar pijn ondenkbaar was;CSC;CS;CS;CS;Yes;1;No;0;Russian;Dutch;Poem;PE
меня встречал и в щеку чмокал.;begroette mij gastvrij en blij --;встречал и ... чмокал;begroette mij;R;R;O;O;No;0;No;0;Russian;Dutch;Poem;PE
меня встречал и в щеку чмокал.;begroette mij gastvrij en blij --;чмокал;gastvrij en blij;CSM;CS;R;R;No;0;No;0;Russian;Dutch;Poem;PE
Как будто рыба из воды, сервиз выглядывал из стекол.;als glaswerk achter vensterglas, als vanuit zee, bekeek het mij.;Как будто рыба из воды;als vanuit zee;CSM;CS;CSA;CS;Yes;1;No;0;Russian;Dutch;Poem;PE
Как будто рыба из воды, сервиз выглядывал из стекол.;als glaswerk achter vensterglas, als vanuit zee, bekeek het mij.;сервиз выглядывал;glaswerk … bekeek;R;R;CSM;CS;No;0;No;0;Russian;Dutch;Poem;PE
Как будто рыба из воды, сервиз выглядывал из стекол.;als glaswerk achter vensterglas, als vanuit zee, bekeek het mij.;из стекол;vensterglas;CSC;CS;R;R;No;0;No;0;Russian;Dutch;Poem;PE
И пес выскакивал ко мне, как галка маленький, орущий,;Een hondje, keffend als een kraai, sprong me uitbundig tegemoet –;пес выскакивал;(…) sprong me uitbundig tegemoet;R;R;R;R;Yes;1;Yes;1;Russian;Dutch;Poem;PE
И пес выскакивал ко мне, как галка маленький, орущий,;Een hondje, keffend als een kraai, sprong me uitbundig tegemoet –;как галка маленький;keffend als een kraai;CSM;CS;CS;CS;Yes;1;No;0;Russian;Dutch;Poem;PE
И пес выскакивал ко мне, как галка маленький, орущий,;Een hondje, keffend als een kraai, sprong me uitbundig tegemoet –;орущий;keffend ;CSC;CS;CSC;CS;Yes;1;Yes;1;Russian;Dutch;Poem;PE
и в беззащитном всеоружьи, торчали кактусы в окне.;en in het raam, weerloos en fraai, cacteeën in een stoere stoet.;и в беззащитном всеоружьи;weerloos … stoere stoet;CSM;CS;CSM;CS;Yes;1;Yes;1;Russian;Dutch;Poem;PE
и в беззащитном всеоружьи, торчали кактусы в окне.;en in het raam, weerloos en fraai, cacteeën in een stoere stoet.;торчали кактусы;in het raam … cacteeën;R;R;O;O;No;0;No;0;Russian;Dutch;Poem;PE
От неурядиц всей земли;Uit ’s werelds chaos opgericht,;неурядиц всей земли;uit 's wereldschaos;R;R;R;R;Yes;1;Yes;1;Russian;Dutch;Poem;PE
я шла озябшим делегатом,;ijskoud, kwam ik als delegaat;озябшим делегатом;ijskoud, als delegaat;CSM;CS;R;R;No;0;No;0;Russian;Dutch;Poem;PE
и дом смотрел в глаза мои;van ver tot voor zijn aangezicht –;дом смотрел;zijn aangezicht;CSM;CS;R;R;No;0;No;0;Russian;Dutch;Poem;PE
и дом смотрел в глаза мои;van ver tot voor zijn aangezicht –;глаза мои;;O;O;O;O;Yes;1;Yes;1;Russian;Dutch;Poem;PE
и добрым был и деликатным.;het was zo goed, zo delicaat.;добрым был;goed;CSA;CS;CS;CS;Yes;1;No;0;Russian;Dutch;Poem;PE
и добрым был и деликатным.;het was zo goed, zo delicaat.;дом...добрым и деликатным;zo goed, zo delicaat;R;R;R;R;Yes;1;Yes;1;Russian;Dutch;Poem;PE
он не навлек, себя не выдал.;gesmaad en van haar eer beroofd;стыда...не навлек;gesmaad en van haar eer beroofd;CSM;CS;R;R;No;0;No;0;Russian;Dutch;Poem;PE
он не навлек, себя не выдал.;gesmaad en van haar eer beroofd;себя не выдал;in stilte;CSM;CS;R;R;No;0;No;0;Russian;Dutch;Poem;PE
Дом клялся мне, что никогда;of zelfs gezien: ik deed getrouw;дом клялся;zwoer het;R;R;O;O;No;0;No;0;Russian;Dutch;Poem;PE
он этой женщины не видел.;wat ik in stilte had beloofd.';этой женщины не видел;of zelfs gezien;CSA;CS;R;R;No;0;No;0;Russian;Dutch;Poem;PE
Он говорил: — Я пуст, Я пуст. —;Het zei: ‘Ik ben zo leeg, zo leeg.’;я пуст, я пуст;ik ben zo leeg, zo leeg;CSM;CS;CS;CS;Yes;1;No;0;Russian;Dutch;Poem;PE
Я говорила: — Где-то, где-то… —;Ik zei: ‘Maar ergens, iets...’ Toen deed;Где-то, где-то;Maar ergens, iets;R;R;CSM;CS;No;0;No;0;Russian;Dutch;Poem;PE
